from_regime,to_regime,n_events,n_pre_trades,n_post_trades,pf_pre,pf_post,delta_pf,recovery_bars,degrades,asset,hypothesis
TRENDING,HIGH_VOLATILITY,188,210,72,1.156,0.952,-0.2039,6.0,True,ITUB4,MR_RSI_Exhaust
TRENDING,MEAN_REVERTING,31,28,28,0.439,1.132,0.6929,5.2,False,ITUB4,MR_RSI_Exhaust
MEAN_REVERTING,TRENDING,29,25,37,1.451,1.023,-0.4272,13.6,True,ITUB4,MR_RSI_Exhaust
TRENDING,LOW_VOLATILITY,19,15,5,0.358,0.235,-0.1228,2.9,True,ITUB4,MR_RSI_Exhaust
LOW_VOLATILITY,TRENDING,18,3,30,,1.253,,,,ITUB4,MR_RSI_Exhaust
MEAN_REVERTING,HIGH_VOLATILITY,10,7,6,0.633,2.051,1.418,7.9,False,ITUB4,MR_RSI_Exhaust
HIGH_VOLATILITY,MEAN_REVERTING,8,3,5,,1.274,,,,ITUB4,MR_RSI_Exhaust
LOW_VOLATILITY,HIGH_VOLATILITY,7,3,6,,0.325,,,,ITUB4,MR_RSI_Exhaust
HIGH_VOLATILITY,LOW_VOLATILITY,5,3,1,,,,,,ITUB4,MR_RSI_Exhaust
MEAN_REVERTING,LOW_VOLATILITY,3,2,0,,,,,,ITUB4,MR_RSI_Exhaust
LOW_VOLATILITY,MEAN_REVERTING,2,0,0,,,,,,ITUB4,MR_RSI_Exhaust
TRENDING,HIGH_VOLATILITY,874,769,800,1.075,1.211,0.1351,7.5,False,BTC,MR_EMA_Dist
HIGH_VOLATILITY,TRENDING,865,812,664,1.183,1.147,-0.0364,6.0,False,BTC,MR_EMA_Dist
LOW_VOLATILITY,TRENDING,175,52,195,1.18,1.234,0.0537,7.5,False,BTC,MR_EMA_Dist
HIGH_VOLATILITY,LOW_VOLATILITY,168,70,36,1.82,1.106,-0.7139,3.4,True,BTC,MR_EMA_Dist
LOW_VOLATILITY,HIGH_VOLATILITY,165,27,112,0.865,1.274,0.4087,6.9,False,BTC,MR_EMA_Dist
