key,asset,hypothesis,start_idx,end_idx,depth,cum_pnl,entry_time,exit_time
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1174,1175,2,-1247.39,2025-06-12 20:00:00+00:00,2025-06-12 22:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1177,1178,2,-1193.58,2025-06-13 16:00:00+00:00,2025-06-13 19:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1185,1188,4,-1679.77,2025-06-16 05:00:00+00:00,2025-06-16 18:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1191,1192,2,-1035.78,2025-06-17 12:00:00+00:00,2025-06-17 15:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1194,1196,3,-1549.17,2025-06-17 20:00:00+00:00,2025-06-18 18:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1201,1206,6,-2950.56,2025-06-20 15:00:00+00:00,2025-06-22 14:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1211,1215,5,-3420.59,2025-06-23 19:00:00+00:00,2025-06-25 11:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1217,1219,3,-1408.74,2025-06-25 16:00:00+00:00,2025-06-25 20:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1224,1226,3,-477.7,2025-06-28 08:00:00+00:00,2025-06-29 11:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1231,1233,3,-1065.41,2025-07-01 05:00:00+00:00,2025-07-01 15:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1235,1236,2,-769.46,2025-07-02 09:00:00+00:00,2025-07-02 15:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1238,1239,2,-931.63,2025-07-03 03:00:00+00:00,2025-07-03 06:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1249,1250,2,-678.57,2025-07-07 17:00:00+00:00,2025-07-07 19:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1257,1261,5,-2533.62,2025-07-10 14:00:00+00:00,2025-07-11 06:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1263,1270,8,-3951.8,2025-07-11 16:00:00+00:00,2025-07-14 05:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1273,1274,2,-1539.48,2025-07-15 03:00:00+00:00,2025-07-15 05:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1277,1278,2,-1041.82,2025-07-16 10:00:00+00:00,2025-07-16 16:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1293,1294,2,-1155.1,2025-07-25 02:00:00+00:00,2025-07-25 04:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1298,1301,4,-992.77,2025-07-26 11:00:00+00:00,2025-07-27 18:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1304,1305,2,-914.37,2025-07-29 15:00:00+00:00,2025-07-29 17:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1310,1316,7,-4383.86,2025-07-31 20:00:00+00:00,2025-08-01 20:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1328,1330,3,-1047.08,2025-08-07 09:00:00+00:00,2025-08-07 16:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1332,1333,2,-824.0,2025-08-08 07:00:00+00:00,2025-08-08 21:00:00+00:00
