hypothesis,asset,regime,n_test,n_oos,pf_test,pf_oos,degradation,stable
MR_RSI_Exhaust,EURUSD,TRENDING,210,262,1.189,1.092,-0.0815,True
TF_Momentum,BTC,HIGH_VOLATILITY,328,345,1.106,1.021,-0.0768,True
TF_Momentum,BTC,TRENDING,310,382,0.957,0.892,-0.0681,True
VOL_Range_Bkout,DXY,HIGH_VOLATILITY,59,58,1.195,1.117,-0.0652,True
TF_EMA_Slope,BTC,TRENDING,281,385,0.898,0.845,-0.059,True
VOL_Range_Bkout,NASDAQ,HIGH_VOLATILITY,89,96,1.125,1.063,-0.0549,True
TF_EMA_Slope,GOLD,TRENDING,191,253,1.296,1.228,-0.0526,True
MR_BB_Stretch,PETR4,TRENDING,88,116,0.924,0.88,-0.0475,True
TF_EMA_Slope,NASDAQ,LOW_VOLATILITY,34,32,1.298,1.248,-0.0386,True
MR_RSI_Exhaust,NASDAQ,LOW_VOLATILITY,55,66,0.942,0.906,-0.0379,True
TF_Breakout_20,QQQ,TRENDING,48,53,1.172,1.13,-0.0361,True
TF_EMA_Slope,PETR4,TRENDING,79,106,1.348,1.302,-0.0341,True
TF_EMA_Slope,NASDAQ,TRENDING,163,228,1.023,0.988,-0.034,True
MR_RSI_Exhaust,IBOV,TRENDING,64,106,0.797,0.772,-0.0307,True
MR_EMA_Dist,GOLD,HIGH_VOLATILITY,172,221,1.005,0.974,-0.0304,True
TF_EMA_Slope,IBOV,TRENDING,68,111,1.144,1.11,-0.0298,True
MR_EMA_Dist,PETR4,HIGH_VOLATILITY,44,50,0.976,0.948,-0.0286,True
MR_RSI_Exhaust,GOLD,HIGH_VOLATILITY,116,152,0.996,0.968,-0.0282,True
TF_Breakout_20,DXY,HIGH_VOLATILITY,149,160,0.914,0.889,-0.0278,True
TF_Breakout_20,EURUSD,TRENDING,178,236,0.812,0.79,-0.0271,True
MR_EMA_Dist,DXY,TRENDING,253,325,1.108,1.089,-0.0167,True
TF_Momentum,DXY,TRENDING,217,277,1.026,1.021,-0.0052,True
TF_EMA_Slope,BTC,HIGH_VOLATILITY,300,349,1.053,1.049,-0.0039,True
TF_Breakout_20,EURUSD,LOW_VOLATILITY,41,25,1.139,1.135,-0.0037,True
TF_Momentum,QQQ,TRENDING,68,84,1.611,1.616,0.003,True
VOL_ATR_Expand,GOLD,HIGH_VOLATILITY,37,35,1.078,1.085,0.0063,True
TF_Momentum,QQQ,HIGH_VOLATILITY,49,72,0.518,0.523,0.0106,True
TF_Breakout_20,BTC,HIGH_VOLATILITY,229,262,0.923,0.937,0.0147,True
MR_EMA_Dist,EURUSD,LOW_VOLATILITY,70,63,0.919,0.936,0.0183,True
TF_EMA_Slope,NASDAQ,HIGH_VOLATILITY,191,219,0.933,0.953,0.0209,True
TF_EMA_Slope,DXY,TRENDING,207,254,1.039,1.068,0.0286,True
TF_Breakout_20,SPY,TRENDING,55,46,1.288,1.326,0.0291,True
TF_Momentum,PETR4,TRENDING,71,116,1.146,1.186,0.0351,True
MR_RSI_Exhaust,DXY,HIGH_VOLATILITY,134,164,1.138,1.197,0.0518,True
TF_EMA_Slope,PETR4,HIGH_VOLATILITY,42,48,1.168,1.232,0.0545,True
MR_RSI_Exhaust,BTC,TRENDING,242,316,1.161,1.23,0.0595,True
TF_Momentum,GOLD,HIGH_VOLATILITY,152,181,0.979,1.045,0.068,True
TF_Breakout_20,ITUB4,TRENDING,49,76,0.786,0.841,0.0703,True
TF_EMA_Slope,DXY,HIGH_VOLATILITY,188,219,1.022,1.095,0.0721,True
MR_EMA_Dist,QQQ,HIGH_VOLATILITY,63,89,1.382,1.482,0.073,True
MR_EMA_Dist,EURUSD,TRENDING,264,385,1.105,1.188,0.0746,True
TF_EMA_Slope,GOLD,HIGH_VOLATILITY,153,171,0.958,1.035,0.08,True
MR_RSI_Exhaust,ITUB4,MEAN_REVERTING,10,12,1.224,1.324,0.0817,True
TF_Momentum,NASDAQ,LOW_VOLATILITY,40,37,0.963,1.048,0.0888,True
TF_Momentum,NASDAQ,HIGH_VOLATILITY,201,213,0.987,1.079,0.0934,True
MR_EMA_Dist,ITUB4,TRENDING,84,125,1.128,1.237,0.0971,True
MR_BB_Stretch,ITUB4,TRENDING,70,102,1.04,1.145,0.1011,True
VOL_ATR_Expand,BTC,HIGH_VOLATILITY,112,121,1.201,1.329,0.1072,True
MR_BB_Stretch,EURUSD,LOW_VOLATILITY,57,55,0.979,1.086,0.109,True
TF_Breakout_20,PETR4,HIGH_VOLATILITY,28,27,1.03,1.143,0.1095,True
MR_BB_Stretch,EURUSD,TRENDING,234,312,1.086,1.212,0.1159,True
TF_Momentum,SPY,TRENDING,76,70,1.104,1.234,0.1177,True
MR_BB_Stretch,ITUB4,HIGH_VOLATILITY,42,46,0.642,0.721,0.1216,True
TF_Breakout_20,NASDAQ,HIGH_VOLATILITY,143,152,0.911,1.023,0.1229,True
TF_Breakout_20,GOLD,HIGH_VOLATILITY,102,135,1.082,1.216,0.1235,True
MR_RSI_Exhaust,PETR4,TRENDING,63,101,0.896,1.022,0.1405,True
MR_EMA_Dist,PETR4,TRENDING,99,137,0.883,1.01,0.144,True
TF_EMA_Slope,EURUSD,HIGH_VOLATILITY,151,140,1.044,1.195,0.1448,True
TF_Breakout_20,NASDAQ,TRENDING,139,168,0.927,1.064,0.1486,True
TF_Momentum,IBOV,HIGH_VOLATILITY,63,67,0.93,1.072,0.1526,False
VOL_Range_Bkout,EURUSD,LOW_VOLATILITY,166,125,0.927,1.08,0.1646,False
MR_BB_Stretch,NASDAQ,TRENDING,198,247,0.988,1.157,0.1709,False
TF_Momentum,DXY,LOW_VOLATILITY,47,32,0.603,0.709,0.1766,False
MR_BB_Stretch,GOLD,MEAN_REVERTING,22,14,1.011,1.205,0.1918,False
MR_EMA_Dist,NASDAQ,TRENDING,245,282,0.947,1.152,0.216,False
MR_EMA_Dist,BTC,LOW_VOLATILITY,42,44,1.289,1.578,0.2248,False
MR_EMA_Dist,ITUB4,HIGH_VOLATILITY,53,60,0.736,0.906,0.2312,False
MR_EMA_Dist,BTC,TRENDING,370,450,1.101,1.363,0.2372,False
MR_RSI_Exhaust,EURUSD,MEAN_REVERTING,39,66,0.819,1.04,0.2699,False
MR_EMA_Dist,NASDAQ,MEAN_REVERTING,12,22,0.747,0.955,0.2793,False
MR_RSI_Exhaust,ITUB4,TRENDING,73,70,0.999,1.284,0.2856,False
MR_RSI_Exhaust,GOLD,LOW_VOLATILITY,33,31,0.67,0.866,0.2926,False
MR_BB_Stretch,BTC,TRENDING,333,371,1.055,1.368,0.2964,False
MR_RSI_Exhaust,BTC,MEAN_REVERTING,17,42,0.803,1.075,0.3379,False
MR_BB_Stretch,GOLD,TRENDING,215,256,0.802,1.077,0.3429,False
TF_Breakout_20,DXY,LOW_VOLATILITY,30,27,0.627,0.849,0.3535,False
TF_Momentum,EURUSD,TRENDING,252,301,0.797,1.092,0.3688,False
TF_Breakout_20,EURUSD,HIGH_VOLATILITY,113,96,0.678,0.95,0.3999,False
VOL_Range_Bkout,DXY,LOW_VOLATILITY,138,108,0.967,1.355,0.4025,False
TF_EMA_Slope,NASDAQ,MEAN_REVERTING,11,18,1.172,1.652,0.4089,False
TF_EMA_Slope,QQQ,TRENDING,63,83,1.296,1.833,0.4149,False
TF_Momentum,EURUSD,HIGH_VOLATILITY,144,146,0.747,1.085,0.452,False
MR_BB_Stretch,PETR4,HIGH_VOLATILITY,36,45,0.868,1.263,0.4554,False
TF_EMA_Slope,EURUSD,TRENDING,237,288,0.779,1.135,0.4575,False
TF_EMA_Slope,IBOV,HIGH_VOLATILITY,66,64,0.843,1.248,0.48,False
MR_EMA_Dist,GOLD,TRENDING,277,307,0.712,1.067,0.4996,False
TF_Breakout_20,ITUB4,HIGH_VOLATILITY,34,42,0.893,1.37,0.5345,False
VOL_Range_Bkout,GOLD,LOW_VOLATILITY,52,50,0.91,1.407,0.5453,False
TF_Momentum,EURUSD,MEAN_REVERTING,34,74,0.752,1.173,0.5593,False
TF_Breakout_20,EURUSD,MEAN_REVERTING,21,54,0.811,1.267,0.5633,False
MR_RSI_Exhaust,NASDAQ,TRENDING,180,211,0.791,1.237,0.5643,False
MR_BB_Stretch,DXY,LOW_VOLATILITY,67,47,0.95,1.506,0.5857,False
TF_Momentum,ITUB4,HIGH_VOLATILITY,38,60,0.859,1.375,0.6009,False
TF_EMA_Slope,SPY,TRENDING,69,77,0.847,1.371,0.6192,False
TF_EMA_Slope,DXY,LOW_VOLATILITY,46,36,0.8,1.345,0.6802,False
VOL_Range_Bkout,BTC,HIGH_VOLATILITY,91,84,0.94,1.59,0.6918,False
MR_RSI_Exhaust,GOLD,TRENDING,197,254,0.69,1.183,0.7132,False
TF_EMA_Slope,EURUSD,MEAN_REVERTING,36,59,0.797,1.403,0.7602,False
TF_Breakout_20,GOLD,LOW_VOLATILITY,12,14,0.787,1.411,0.7919,False
TF_Breakout_20,BTC,LOW_VOLATILITY,26,29,0.705,1.275,0.8084,False
MR_RSI_Exhaust,PETR4,HIGH_VOLATILITY,30,34,0.647,1.182,0.8266,False
VOL_Range_Bkout,EURUSD,HIGH_VOLATILITY,32,31,0.725,1.34,0.8477,False
MR_EMA_Dist,BTC,MEAN_REVERTING,20,49,0.494,0.913,0.8503,False
TF_EMA_Slope,ITUB4,HIGH_VOLATILITY,37,62,0.577,1.105,0.9135,False
TF_EMA_Slope,GOLD,LOW_VOLATILITY,15,14,0.825,1.579,0.9143,False
TF_Breakout_20,PETR4,TRENDING,60,77,0.669,1.329,0.9871,False
TF_Breakout_20,IBOV,HIGH_VOLATILITY,37,40,0.74,1.819,1.4596,False
VOL_ATR_Expand,SPY,HIGH_VOLATILITY,11,19,0.436,1.083,1.4811,False
VOL_Range_Bkout,GOLD,HIGH_VOLATILITY,35,25,0.321,0.832,1.5908,False
TF_Momentum,DXY,MEAN_REVERTING,11,21,1.015,2.69,1.6514,False
MR_BB_Stretch,PETR4,MEAN_REVERTING,10,11,0.0,0.176,175800000.0,False
MR_EMA_Dist,PETR4,MEAN_REVERTING,10,13,0.0,0.472,472100000.0,False
