asset,category,hypothesis,group,oos_verdict,robustness,pf_degradation,period,regime,n_trades,pf,sharpe,win_rate,expectancy,max_dd
GOLD,commodity,VOL_ATR_Expand,volatility,OOS_PASS,0.2515,0.0063,oos,HIGH_VOLATILITY,35,1.0849,0.0334,0.4,16.5217,2274.22
GOLD,commodity,VOL_Range_Bkout,volatility,FAIL,0.1953,0.9567,test,HIGH_VOLATILITY,35,0.3211,-0.5283,0.2,-47.8029,1798.99
GOLD,commodity,VOL_Range_Bkout,volatility,FAIL,0.1953,0.9567,test,LOW_VOLATILITY,52,0.9103,-0.0383,0.3077,-4.2881,597.79
GOLD,commodity,VOL_Range_Bkout,volatility,FAIL,0.1953,0.9567,oos,HIGH_VOLATILITY,25,0.8319,-0.0727,0.32,-17.9288,952.6
GOLD,commodity,VOL_Range_Bkout,volatility,FAIL,0.1953,0.9567,oos,LOW_VOLATILITY,50,1.4067,0.1293,0.38,40.8312,1587.22
NASDAQ,index,MR_BB_Stretch,mean_reversion,OOS_PASS,0.4189,-0.0317,test,HIGH_VOLATILITY,174,1.1262,0.0462,0.3793,6.8933,1331.98
NASDAQ,index,MR_BB_Stretch,mean_reversion,OOS_PASS,0.4189,-0.0317,test,LOW_VOLATILITY,58,1.2118,0.0822,0.3448,6.2521,419.61
NASDAQ,index,MR_BB_Stretch,mean_reversion,OOS_PASS,0.4189,-0.0317,test,MEAN_REVERTING,9,0.692,-0.1527,0.2222,-13.5167,240.62
NASDAQ,index,MR_BB_Stretch,mean_reversion,OOS_PASS,0.4189,-0.0317,test,TRENDING,198,0.9879,-0.0051,0.3384,-0.5895,1949.88
NASDAQ,index,MR_BB_Stretch,mean_reversion,OOS_PASS,0.4189,-0.0317,oos,HIGH_VOLATILITY,210,0.9241,-0.0346,0.3619,-4.0943,2643.02
NASDAQ,index,MR_BB_Stretch,mean_reversion,OOS_PASS,0.4189,-0.0317,oos,LOW_VOLATILITY,74,0.8565,-0.0703,0.3243,-4.63,750.31
NASDAQ,index,MR_BB_Stretch,mean_reversion,OOS_PASS,0.4189,-0.0317,oos,MEAN_REVERTING,18,1.262,0.1026,0.3889,13.3122,382.53
NASDAQ,index,MR_BB_Stretch,mean_reversion,OOS_PASS,0.4189,-0.0317,oos,TRENDING,247,1.1567,0.0626,0.3401,6.8231,1255.51
NASDAQ,index,MR_EMA_Dist,mean_reversion,OOS_PASS,0.3703,0.0204,test,HIGH_VOLATILITY,210,1.1256,0.0467,0.3714,6.847,1610.86
NASDAQ,index,MR_EMA_Dist,mean_reversion,OOS_PASS,0.3703,0.0204,test,LOW_VOLATILITY,70,1.1412,0.0559,0.3143,4.1666,512.98
NASDAQ,index,MR_EMA_Dist,mean_reversion,OOS_PASS,0.3703,0.0204,test,MEAN_REVERTING,12,0.7465,-0.1256,0.25,-10.8617,250.0
NASDAQ,index,MR_EMA_Dist,mean_reversion,OOS_PASS,0.3703,0.0204,test,TRENDING,245,0.9473,-0.0229,0.3347,-2.6158,2004.54
NASDAQ,index,MR_EMA_Dist,mean_reversion,OOS_PASS,0.3703,0.0204,oos,HIGH_VOLATILITY,250,0.9997,-0.0001,0.372,-0.017,2513.42
NASDAQ,index,MR_EMA_Dist,mean_reversion,OOS_PASS,0.3703,0.0204,oos,LOW_VOLATILITY,74,0.9399,-0.0278,0.3243,-1.9289,672.45
NASDAQ,index,MR_EMA_Dist,mean_reversion,OOS_PASS,0.3703,0.0204,oos,MEAN_REVERTING,22,0.955,-0.0202,0.3182,-2.5105,459.55
NASDAQ,index,MR_EMA_Dist,mean_reversion,OOS_PASS,0.3703,0.0204,oos,TRENDING,282,1.1519,0.0606,0.3369,6.6948,1108.93
NASDAQ,index,MR_RSI_Exhaust,mean_reversion,FAIL,0.2357,0.1202,test,HIGH_VOLATILITY,137,1.0056,0.0021,0.3431,0.3064,1735.93
NASDAQ,index,MR_RSI_Exhaust,mean_reversion,FAIL,0.2357,0.1202,test,LOW_VOLATILITY,55,0.9416,-0.0257,0.3091,-1.9749,654.59
NASDAQ,index,MR_RSI_Exhaust,mean_reversion,FAIL,0.2357,0.1202,test,MEAN_REVERTING,18,1.309,0.0947,0.3333,16.9844,515.07
NASDAQ,index,MR_RSI_Exhaust,mean_reversion,FAIL,0.2357,0.1202,test,TRENDING,180,0.7906,-0.0995,0.3056,-11.0748,3223.27
NASDAQ,index,MR_RSI_Exhaust,mean_reversion,FAIL,0.2357,0.1202,oos,HIGH_VOLATILITY,169,0.8433,-0.073,0.3254,-8.5585,2275.78
NASDAQ,index,MR_RSI_Exhaust,mean_reversion,FAIL,0.2357,0.1202,oos,LOW_VOLATILITY,66,0.9059,-0.0451,0.3485,-3.1942,834.03
NASDAQ,index,MR_RSI_Exhaust,mean_reversion,FAIL,0.2357,0.1202,oos,MEAN_REVERTING,22,0.9386,-0.029,0.3636,-3.6195,487.77
NASDAQ,index,MR_RSI_Exhaust,mean_reversion,FAIL,0.2357,0.1202,oos,TRENDING,211,1.2367,0.088,0.3507,10.4886,711.55
NASDAQ,index,TF_EMA_Slope,trend_follow,FAIL,0.2917,0.0081,test,HIGH_VOLATILITY,191,0.9335,-0.0299,0.3665,-5.3208,3319.3
